row;dB_at_idle;dB_at_50kmh;dB_at_80kmh;dB_at_100kmh;dB_at_120kmh;dB_at_140kmh
1566;49.9;57.8;62.0;66.3;67.2;70.6nan
1567;47.9;62.7;65.5;68.3;70.1;73.7nan
1568;49.7;65.3;71.2;74.5;77.6;81.136738
1569;47.1;58.0;66.7;70.9;72.5;74.536735
1570;46.7;57.4;66.1;70.8;71.8;73.245837
1571;43.4;65.7;67.3;70.5;73.4;75.858731
1572;47.3;62.9;66.9;70.5;72.8;77.062089
1573;2012;58.5;67.5;73.2;76.1;78.8
1574;45.1;55.5;63.8;68.3;69.4;70.952149
1575;38.5;60.6;64.6;68.7;72.3;75.7nan
1576;46.1;56.1;61.8;67.3;69.7;71.8nan
1577;44.8;56.6;64.0;67.7;71.5;75.3nan
1578;44.5;54.8;63.0;67.0;68.5;70.437579
1579;43.6;53.6;61.6;65.0;67.1;69.451501
1580;2009;44.9;56.0;62.9;66.8;69.0
1581;2013;39.9;51.7;58.9;63.3;64.5
1582;42.0;61.3;64.2;66.2;69.1;71.761267
1583;42.9;53.5;59.6;65.8;68.2;70.871661
1584;2013;39.9;51.7;58.9;63.3;64.5
1585;44.7;55.0;63.3;66.5;68.9;71.537401
1586;45.4;55.9;62.4;66.0;68.4;70.737401
1587;2008;45.7;56.2;64.7;69.0;70.3
1588;54.8;63.2;68.4;71.4;72.7;74.145863
1589;2011;58.3;65.7;70.3;72.9;74.4
1590;46.2;56.8;65.3;68.7;71.1;73.737654
1591;2008;49.3;61.8;64.5;66.5;68.8
1592;2008;44.4;54.6;62.8;66.0;68.4
1593;2009;44.5;54.7;62.9;65.8;68.5
1594;2010;37.4;48.0;54.6;58.0;61.0
1595;46.8;55.9;60.7;64.3;67.2;72.1nan
1596;40.9;55.5;60.8;64.3;68.0;70.1nan
1597;44.3;54.6;62.7;65.7;68.3;71.345882
1598;42.1;57.6;63.1;65.6;68.0;71.161719
1599;46.3;57.0;65.6;67.7;71.4;75.6nan
1600;41.5;52.0;58.6;62.0;65.0;68.037404
1601;42.4;52.2;60.1;62.4;65.4;68.837471
1602;46.3;57.0;65.6;69.7;71.3;73.3nan
1603;45.3;56.4;63.2;67.1;68.9;70.6nan
1604;49.1;63.0;65.0;69.0;70.4;74.0nan
1605;2012;42.5;55.6;62.6;67.0;70.2
1606;41.9;55.0;62.9;68.0;68.7;69.5nan
1607;45.8;56.3;64.8;68.9;70.4;72.351555
1608;40.1;62.1;67.2;70.2;74.3;77.0nan
1609;40.1;53.6;60.2;68.3;70.7;72.8nan
1611;38.9;53.0;60.0;68.8;71.2;73.8nan
1612;40.7;53.8;61.9;66.2;69.8;73.345911
1613;44.7;55.0;63.2;67.9;68.7;69.955539
